event_id,timestamp,host_id,user_hash,session_id,step,parent_process,process,event_type,target,relation,signed,notarized,gatekeeper_bypass,xprotect_detection,privilege_escalation,persistence_write,sensitive_access,network_beacon,file_write_count,bytes_out,command_risk,scenario,mitre_technique,label,data_source
evt-0000-0,2026-01-15 08:01:03+00:00,mac-002,user-83383,session-0000,0,launchd,Terminal,exec,/bin/zsh,executes,1,1,0,0,0,0,0,0,7,820,0.030456552650041775,benign,,0,synthetic macOS Endpoint Security-style fixture
evt-0000-1,2026-01-15 08:01:22+00:00,mac-002,user-83383,session-0000,1,Terminal,zsh,exec,/usr/local/bin/brew,executes,0,0,0,0,0,0,0,0,3,1567,0.2766346277243197,benign,,0,synthetic macOS Endpoint Security-style fixture
evt-0000-2,2026-01-15 08:01:39+00:00,mac-002,user-83383,session-0000,2,zsh,brew,network_connect,packages.example,connects,0,0,0,0,0,0,0,0,4,380,0.23506882930996298,benign,,0,synthetic macOS Endpoint Security-style fixture
evt-0000-3,2026-01-15 08:01:57+00:00,mac-002,user-83383,session-0000,3,brew,softwareupdated,file_write,/Library/Updates,writes,1,1,0,0,0,1,0,0,81,512,0.3315241731024859,benign,,0,synthetic macOS Endpoint Security-style fixture
evt-0000-4,2026-01-15 08:02:18+00:00,mac-002,user-83383,session-0000,4,softwareupdated,security,file_read,login.keychain-db,reads,1,1,0,0,0,0,1,0,3,344,0.26180323769284675,benign,,0,synthetic macOS Endpoint Security-style fixture
evt-0000-5,2026-01-15 08:02:35+00:00,mac-002,user-83383,session-0000,5,security,backupd,network_connect,backup.example,connects,1,1,0,0,0,0,0,1,5,22783,0.24549991709929414,benign,,0,synthetic macOS Endpoint Security-style fixture
evt-0001-0,2026-01-15 08:08:02+00:00,mac-015,user-22503,session-0001,0,launchd,mdworker,exec,/System/Applications,executes,1,1,0,0,0,0,0,0,5,918,0.003229842637433554,benign,,0,synthetic macOS Endpoint Security-style fixture
evt-0001-1,2026-01-15 08:08:19+00:00,mac-015,user-22503,session-0001,1,mdworker,Calendar,network_connect,icloud.example,connects,1,1,0,0,0,0,0,0,5,572,0.029616068495507866,benign,,0,synthetic macOS Endpoint Security-style fixture
evt-0001-2,2026-01-15 08:08:41+00:00,mac-015,user-22503,session-0001,2,Calendar,backupd,exec,/usr/bin/open,executes,1,1,0,0,0,0,0,0,4,743,0.03865543622954199,benign,,0,synthetic macOS Endpoint Security-style fixture
evt-0001-3,2026-01-15 08:08:57+00:00,mac-015,user-22503,session-0001,3,backupd,softwareupdated,network_connect,updates.example,connects,1,1,0,0,0,0,0,0,2,613,0.09321174331087911,benign,,0,synthetic macOS Endpoint Security-style fixture
evt-0001-4,2026-01-15 08:09:18+00:00,mac-015,user-22503,session-0001,4,softwareupdated,Notes,network_connect,mail.example,connects,1,1,0,0,0,0,0,0,4,649,0.051151805037052016,benign,,0,synthetic macOS Endpoint Security-style fixture
